[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=109, close=0.05, date=2005-11-07, high=0.06, low=0.03, open=0.06, volumn=2999349]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=110, close=0.07, date=2005-11-08, high=0.07, low=0.04, open=0.05, volumn=5684313]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=111, close=0.06, date=2005-11-09, high=0.08, low=0.05, open=0.06, volumn=6832287]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=112, close=0.03, date=2005-11-10, high=0.07, low=0.03, open=0.06, volumn=6822571]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=113, close=0.05, date=2005-11-11, high=0.06, low=0.0, open=0.03, volumn=7298080]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=114, close=0.05, date=2005-11-14, high=0.07, low=0.04, open=0.06, volumn=5170231]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=115, close=0.04, date=2005-11-15, high=0.06, low=0.02, open=0.04, volumn=4659830]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=116, close=0.06, date=2005-11-16, high=0.06, low=0.03, open=0.06, volumn=4559795]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=117, close=0.09, date=2005-11-17, high=0.12, low=0.04, open=0.06, volumn=15066415]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=118, close=0.12, date=2005-11-18, high=0.13, low=0.08, open=0.08, volumn=15381693]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=119, close=0.12, date=2005-11-21, high=0.13, low=0.1, open=0.12, volumn=6443718]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=120, close=0.08, date=2005-11-22, high=0.13, low=0.07, open=0.13, volumn=5723996]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=121, close=0.09, date=2005-11-23, high=0.1, low=0.06, open=0.07, volumn=5037539]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=122, close=0.13, date=2005-11-24, high=0.18, low=0.08, open=0.09, volumn=22806278]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=123, close=0.19, date=2005-11-25, high=0.19, low=0.13, open=0.13, volumn=22642638]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=124, close=0.18, date=2005-11-28, high=0.23, low=0.16, open=0.2, volumn=24066945]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=125, close=0.19, date=2005-11-29, high=0.19, low=0.15, open=0.17, volumn=11684780]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=127, close=0.18, date=2005-12-01, high=0.22, low=0.16, open=0.21, volumn=9774330]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=128, close=0.18, date=2005-12-02, high=0.2, low=0.16, open=0.17, volumn=7362822]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=129, close=0.14, date=2005-12-05, high=0.18, low=0.14, open=0.16, volumn=8406898]
[ERROR STOCK_INFO]:sh600030 PivotalCandleStick [ci=130, close=0.19, date=2005-12-06, high=0.2, low=0.13, open=0.14, volumn=10027015]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=0, close=-0.03, date=2005-06-14, high=0.07, low=-0.04, open=0.07, volumn=316100]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=1, close=-0.11, date=2005-06-15, high=-0.03, low=-0.14, open=-0.04, volumn=396318]
[ERROR STOCK_INFO]:sh600066 PivotalCandleStick [ci=2, close=-0.06, date=2005-06-16, high=-0.06, low=-0.14, open=-0.1, volumn=362572]
